time,seconds_elapsed,acc_z,acc_y,acc_x,gry_z,gry_y,gry_x,gravity_z,gravity_y,gravity_x,mag_z,mag_y,mag_x,qz,qy,qx,qw,roll,pitch,yaw,tacc_z,tacc_y,tacc_x,activity
1.70E+18,5.568910645,-0.086137235,1.016077042,1.647806644,-0.341274023,-0.609845877,0.156322941,-0.533493578,9.773118973,0.609851658,13.83479977,-25.16860008,28.96279907,0.580379069,0.56799674,0.441391826,0.381723881,-1.988069296,-1.484588385,2.397301674,-0.299701035,10.35972595,4.614558697,walk
1.70E+18,5.578812256,-0.138027787,1.010139465,1.969886184,-0.298132092,-0.589007258,0.140344456,-0.550720096,9.773827553,0.582556129,13.46879959,-25.32719994,28.85299873,0.584157407,0.566921115,0.439851314,0.379330218,-1.91185534,-1.481773734,2.466760159,0.473778874,10.87238789,4.933103085,walk
1.70E+18,5.588668457,-0.228351295,1.018798828,2.209662914,-0.227760136,-0.492537111,0.095538087,-0.563094616,9.774256706,0.563221455,13.12720013,-25.57119942,28.76759911,0.588793516,0.564634979,0.437508315,0.378280252,-1.799096584,-1.480303526,2.573675871,0.608076036,11.62463188,5.026422977,walk
1.70E+18,5.59847998,-0.429520786,0.948647499,2.578692436,-0.145670623,-0.361979485,0.018242115,-0.567721784,9.77454567,0.553474128,12.76119995,-25.8029995,28.69439888,0.594324827,0.560893834,0.434437245,0.378735214,-1.643594503,-1.478890538,2.724691629,0.17437695,12.41994572,4.808377266,walk
1.70E+18,5.608332275,-0.50255394,0.718336105,3.140648365,-0.084885754,-0.178093642,-0.084086835,-0.561703146,9.774979591,0.551953673,12.35859966,-26.03479958,28.63339996,0.600547671,0.555987,0.43109116,0.379975408,-1.465395331,-1.474858522,2.89937973,-0.49381876,12.97328663,3.917349815,walk
1.70E+18,5.618217041,-0.378985703,0.440317154,3.619749546,-0.070505112,0.040412277,-0.189078867,-0.544061959,9.775848389,0.554226041,11.76079941,-26.29100037,28.56019974,0.607086718,0.550470173,0.427739888,0.381401211,-1.295958638,-1.467282891,3.065753222,-1.020837903,13.15304661,2.666800737,walk
1.70E+18,5.628072266,-0.281898379,0.317903519,3.795467377,-0.071037725,0.258452177,-0.274364084,-0.516851008,9.777107239,0.558045387,11.16300011,-26.51059914,28.47480011,0.613384306,0.54474622,0.424686551,0.382952482,-1.155258179,-1.457131267,-3.078941345,-1.181456208,12.89910889,1.840379715,walk
1.70E+18,5.637920898,0.189084798,0.456212044,4.041805267,-0.049200449,0.452457726,-0.322832197,-0.482731014,9.77842617,0.565439582,10.51639938,-26.80340004,28.35280037,0.619118094,0.53905189,0.422148138,0.384586513,-1.047063112,-1.445643187,-2.971829176,-0.972981513,12.30479145,1.430907965,walk
1.70E+18,5.647775391,0.926574349,0.964922905,4.347634792,-0.006058513,0.530286312,-0.316973388,-0.446799934,9.779407501,0.577879131,9.979599953,-27.05959892,28.30399895,0.623971105,0.533238649,0.420628279,0.386508018,-0.968730092,-1.433600426,-2.892250776,-0.793220699,11.56241798,1.191326618,walk
1.70E+18,5.657598145,1.031049609,1.712035179,4.422966003,0.051530648,0.462044835,-0.250928968,-0.417307705,9.779657364,0.595448196,9.247599602,-27.38899994,28.12100029,0.627942502,0.527140319,0.420341164,0.388747454,-0.914759517,-1.42126298,-2.834283829,-0.867697299,10.94178009,0.743270516,walk
